JPS_ID	作品名	作品名かな	作品名_重複	作品名かな_重複
1870	椀類 吸物椀	ワンルイ スイモノワン	22	22
3127	菊花双鳥鏡	キッカソウチョウキョウ	22	17
116512	マキリ（小刀）	こがたな	22	12
116514	マキリ（小刀）	まきり　こがたな	22	7
3184	菊花双鳥鏡	キクカソウチョウキョウ	22	5
116651	マキリ（小刀）	まきり（こがたな）	22	4
93490	須恵器 蓋坏	ふたつき	21	59
116504	盆	ぼん	21	22
451	瓦経	ガキョウ	21	21
90749	石製勾玉	せきせいまがたま	21	21
93497	石棒残欠	せきぼうざんけつ	21	21
89609	砥石	といし	21	21
92347	土製耳飾	どせいみみかざり	21	21
71760	皿	さら	21	20
95059	須恵器 蓋坏	すえき　ふたつき	21	18
71881	皿	とうせいざら	21	1
2914	蓬莱鏡	ホウライキョウ	20	24
89702	土偶残欠	どぐうざんけつ	20	21
88426	水晶切子玉	すいしょうきりこだま	20	20
71296	兎水滴	うさぎすいてき	20	20
89592	ヤス状刺突具	やすじょうしとつぐ	20	19
692	方格規矩四神鏡	ホウカクキクシシンキョウ	20	19
109553	ヤス状刺突具	じょうしとつぐ	20	1
93458	方格規矩四神鏡	ほうかくきくしじんきょう	20	1
78066	肩衝茶入	かたつきちゃいれ	19	21
72903	煙管	きせる	19	19
58688	十字架	じゅうじか	19	19
159928	石膏像	せっこうぞう	19	19
160237	題不詳	だいふしょう	19	19
90201	剥片	はくへん	19	19
167637	平城京木簡	へいじょうきょうもっかん	19	19
90093	有孔石製品	ゆうこうせきせいひん	19	18
144799	連弧文「昭明」鏡	れんこもんしょうめいきょう	19	18
12790	石冠	せっかん	19	17
89455	石冠	どっこいし	19	17
150290	連弧文「昭明」鏡	れんこもん「しょうめい」きょう	19	3
578	石冠	セキカン	19	1
101155	有孔石製品	ゆうこうせきせひん	19	1
88754	鉄矛	てつほこ	18	25
88978	扁平鈕式銅鐸	へんぺいちゅうしきどうたく	18	22
752	石器	セッキ	18	20
57358	硯	すずり	18	19
144045	ラマ僧坐像	らまそうざぞう	18	18
119660	金峯山発掘品毛彫模写図	きんぷせんはっくつひんけぼりもしゃず	18	18
71514	合子	ごうす	18	18
4811	山水図扇面	サンスイズセンメン	18	18
50799	汐干狩	しおひがり	18	18
3219	獣帯鏡	ジュウタイキョウ	18	18
88634	石製斧	せきせいおの	18	18
90834	鉄鍬	てつくわ	18	18
143960	無量寿仏坐像	むりょうじゅぶつざぞう	18	18
65563	明刀	めいとう	18	18
176090	緑ターラー坐像	ミドリターラーザゾウ	18	18
71637	短刀	たんとう	18	17
16282	鈁	ほう	17	21
71648	銅製経筒	どうせいきょうづつ	17	19
56423	詠草	えいそう	17	18
56474	和歌	わか	17	18
15357	水滴	すいてき	17	17
63862	尖首刀	せんしゅとう	17	17
2385	白磁碗	ハクジワン	17	17
71925	坏	つき	17	17
162643	霰真形釜	あられしんなりがま	17	17
162436	神楽面	かぐらめん	17	17
115680	石斧	せきふ	17	16
110873	唐草文軒平瓦	からくさもんのきひらがわら	17	14
94206	坏	はい	17	4
164213	唐草文軒平瓦	からくさもんのきひらかわら	17	2
174642	石斧	いしおの	17	1
110850	唐草文軒平瓦	からくさもんのきひらもん	17	1
16415	戈	か	16	35
5758	石錘	セキスイ	16	23
79727	鉢	＊	16	21
56820	和歌懐紙	わかかいし	16	19
1458	独鈷石	ドッコイシ	16	17
91458	蓋	ふた	16	16
80	広形銅矛	ヒロガタドウホコ	16	16
142375	行書七言絶句軸	ぎょうしょしちごんぜっくじく	16	16
2746	彩陶双耳壺	サイトウソウジコ	16	16
37727	山水	さんすい	16	16
89461	太型蛤刃石斧	ふとがたはまぐりばせきふ	16	16
12660	辻金具	つじかなぐ	16	16
151027	緑釉千鳥形磚	りょくゆうちどりがたせん	16	16
89456	石槍	いしやり	16	15
92435	台付鉢形土器残欠	だいつきはちがたどきざんけつ	16	15
5052	竹石図	チクセキズ	16	15
15588	鉢	はち	16	15
95604	鉄鎌	てつかま	16	14
84025	盃台	はいだい	16	14
12135	松喰鶴鏡	まつくいづるきょう	16	12
3142	松喰鶴鏡	マツクイツルキョウ	16	4
107251	鉄鎌	てつがま	16	2
79595	盃台	かつゆうさじがたむこうづけ	16	2
155301	石槍	せきそう	16	1
92461	台付鉢形土器残欠	だいつきどきざんけつ	16	1
174696	竹石図	タケイシズ	16	1
80398	盃台	さかずきだい	16	1
4636	墨竹図	ボクチクズ	15	17
162395	王面	おうめん	15	15
142372	行書七言律詩軸	ぎょうしょしちごんりっしじく	15	15
142415	行書七言聯	ぎょうしょしちごんれん	15	15
281	三角縁三神三獣鏡	サンカクブチサンシンサンジュウキョウ	15	15
3077	山吹双鳥鏡	ヤマブキソウチョウキョウ	15	15
79747	耳付笄	みみつきこうがい	15	15
49370	汐汲	しおくみ	15	15
93880	車輪石	しゃりんせき	15	15
3583	手鑑「翰墨場」 歌集断簡	テカガミ「カンボクジョウ」 カシュウダンカン	15	15
95295	石皿残欠	いしざらざんけつ	15	15
168620	対聯	ツイレン	15	15
57634	短冊	たんざく	15	15
12767	磨製石鏃	ませいせきぞく	15	15
2975	瑞花双鳳八稜鏡	ズイカソウホウハチリョウキョウ	15	13
71606	外容器（甕）	がいようき（かめ）	15	11
71742	松鶴鏡	まつつるきょう	15	8
71491	松鶴鏡	しょうかくきょう	15	7
71894	外容器（甕）	がいようき　かめ	15	4
72920	瑞花双鳳八稜鏡	ずいかそうおうはちりょうきょう	15	2
114705	山吹双鳥鏡	やまぶきそちょうきょう	15	1
176052	無量寿如来坐像	シャカニョライザゾウ	14	36
145756	白磁鉢	はくじはち	14	16
74896	脇指	わきざし	14	16
12116	十一面観音菩薩立像	じゅういちめんかんのんぼさつりゅうぞう	14	15
80079	竹茶杓	たけちゃしゃく	14	15
98052	貝輪残片	かいわざんぺん	14	14
4612	山水図巻	サンスイズカン	14	14
37776	山水図屏風	さんすいずびょうぶ	14	14
86479	小型衣裳人形	こがたいしょうにんぎょう	14	14
88530	水晶勾玉	すいしょうまがたま	14	14
94108	素環頭大刀	そかんとうたち	14	14
142378	草書七言絶句軸	そうしょしちごんぜっくじく	14	14
76	銅剣	ドウケン	14	14
88374	乳文鏡	にゅうもんきょう	14	14
4596	布袋図	ホテイズ	14	14
113088	複弁蓮華文軒丸瓦	ふくべんれんげもんのきまるがわら	14	14
12074	菩薩頭部	ぼさつとうぶ	14	14
92056	磨石	すりいし	14	14
117356	木偶	もくぐう	14	14
16298	扁壺	へんこ	14	14
79768	笄	こうがい	14	14
176053	無量寿如来坐像	ムリョウジュニョライザゾウ	14	13
91622	須恵器 広口壺	すえき ひろぐちつぼ	14	10
432	須恵器 広口壺	スエキ ヒロクチツボ	14	5
78119	黒楽茶碗	くろらくちゃわん	13	14
155179	彩文壺	さいもんつぼ	13	14
157464	クリス	くりす	13	13
93876	鍬形石	くわがたいし	13	13
558	古裂帖	コギレチョウ	13	13
90100	硬玉製大珠	こうぎょくせいたいしゅ	13	13
88637	珠文鏡	しゅもんきょう	13	13
4784	秋景山水図	シュウケイサンスイズ	13	13
404	石剣	セッケン	13	13
142374	草書五言律詩軸	そうしょごごんりっしじく	13	13
518	草葉文鏡	ソウヨウモンキョウ	13	13
89655	台付浅鉢形土器	だいつきあさばちがたどき	13	13
77421	銛頭	もりがしら	13	13
49190	鮑取り	あわびと	13	13
88443	ガラス丸玉	がらすまるだま	13	12
74357	水瓶	すいびょう	13	12
79631	染付透彫盃台	そめつけすかしぼりさかずきだい	13	12
58041	菩薩半跏像	ぼさつはんかぞう	13	12
3134	草花双鳥鏡	ソウカソウチョウキョウ	13	11
114687	ガラス丸玉	まるだま	13	9
71566	草花双鳥鏡	くさばなそうちょうきょう	13	3
79693	染付透彫盃台	そめつけからくさもんさかずきだい	13	2
176284	水瓶	ミズガメ	13	1
117802	菩薩半跏像	ぼざつはんかぞう	13	1
16455	觚	こ	12	34
116508	匙	さじ	12	14
160389	写生帖	しゃせいちょう	12	13
79217	須恵器残片	すえきざんぺん	12	13
12061	阿弥陀如来立像	あみだにょらいりゅうぞう	12	12
88282	横瓶	よこべ	12	12
88494	滑石勾玉	かっせきまがたま	12	12
89563	垂飾	すいしょく	12	12
89541	石棒残片	せきぼうざんぺん	12	12
152322	短剣	たんけん	12	12
15765	如来頭部	にょらいとうぶ	12	12
78131	瓢形茶入	ひさごがたちゃいれ	12	12
74356	瓶	へい	12	12
173249	墳墓表飾石造遺物 石人	フンボヒョウショクセキゾウイブツ セキジン	12	12
538	方格規矩鏡	ホウカクキクキョウ	12	12
14983	薬師如来坐像	やくしにょらいざぞう	12	12
50385	夕立雨宿り	ゆうだちあまやど	12	12
16474	觚形尊	こけいそん	12	12
12663	心葉形杏葉	しんようけいぎょうよう	12	10
79473	青磁鉢	せいじはち	12	10
78390	台付鉢	だいつきはち	12	10
95139	心葉形杏葉	しんようがたぎょうよう	12	2
166731	青磁鉢	せいじばち	12	2
116014	台付鉢	だいつきばち	12	2
79233	塔	とう	11	15
12649	盤龍鏡	ばんりゅうきょう	11	14
4792	花卉図	カキズ	11	12
90567	石製丸玉	せきせいまるだま	11	12
78118	赤楽茶碗	あからくちゃわん	11	12
151974	コアガラス容器片	こあがらすようきへん	11	11
88463	滑石臼玉	かっせきうすだま	11	11
88568	銀環	ぎんかん	11	11
71599	懸仏	かけぼとけ	11	11
4280	五言絶句	ゴゴンゼック	11	11
60595	皇宋通宝	こうそうつうほう	11	11
110229	耳飾残片	みみかざりざんぺん	11	11
159938	女の顔	おんな　かお	11	11
88722	石製坩	せきせいかん	11	11
15936	地蔵菩薩立像	じぞうぼさつりゅうぞう	11	11
2491	白磁壺	ハクジツボ	11	11
3486	不動明王立像	フドウミョウオウリュウゾウ	11	11
5655	仏涅槃図	ブツネハンズ	11	11
74400	平瓦	ひらがわら	11	11
12118	菩薩坐像	ぼさつざぞう	11	11
142064	菩薩像頭部	ぼさつぞうとうぶ	11	11
116616	矢筒	やづつ	11	11
74263	矢立	やたて	11	11
110574	ガラス塊	がらすかたまり	11	10
88506	琴柱形石製品	ことじがたせきせいひん	11	10
144177	文殊菩薩坐像	もんじゅぼさつざぞう	11	10
308	軒平瓦	ノキヒラガワラ	11	9
156226	団扇	だんせん	11	9
94683	中広形銅戈	なかひろがたどうか	11	5
114047	軒平瓦	のきひらかわら	11	3
94682	中広形銅戈	なかびろがたどうか	11	3
86956	団扇	うちわ	11	2
114642	中広形銅戈	ちゅうびろがたどうか	11	2
710	ガラス塊	ガラスカイ	11	1
570	琴柱形石製品	キンチュウガタセキセイヒン	11	1
93678	中広形銅戈	ちゅうひろがたどうか	11	1
176220	文殊菩薩坐像	モンジュモサツザゾウ	11	1
79453	土器残欠	どきざんぺん	10	115
16498	斝	か	10	35
79363	外容器(壺)	がいようき	10	26
169	磚	セン	10	14
149956	石刃	せきじん	10	13
12138	銅鼓	どうこ	10	13
116545	杓子	しゃくし	10	12
90994	須恵器 高坏	すえき たかつき	10	12
89875	銅環	どうかん	10	11
16488	卣	ゆう	10	11
3468	阿弥陀如来坐像	アミダニョライザゾウ	10	10
15370	愛染明王像	あいぜんみょうおうぞう	10	10
162410	猿田彦面	さるたひこめん	10	10
406	凹石	クボミイシ	10	10
38297	花鳥図屏風	かちょうずびょうぶ	10	10
107067	貝釧	かいくしろ	10	10
162475	各種面	かくしゅめん	10	10
780	瓦	カワラ	10	10
91042	脚付長頸壺	きゃくつきちょうけいこ	10	10
178061	供物器	くもつき	10	10
15844	金銅五鈷杵	こんどうごこしょ	10	10
14975	五鈷鈴	ごこれい	10	10
142381	行書五言律詩軸	ぎょうしょごごんりっしじく	10	10
94693	細形銅剣	ほそがたどうけん	10	10
94351	埴輪 男子頭部	はにわ だんしとうぶ	10	10
97735	須恵器 蓋	すえき　ふた	10	10
91208	須恵器 坏身	すえき つきみ	10	10
4725	青緑山水図	セイリョクサンスイズ	10	10
89850	石製紡錘車	せきせいぼうすいしゃ	10	10
615	石枕	イシマクラ	10	10
92066	打製石斧残欠	だせいせきふざんけつ	10	10
93271	単鳳環頭柄頭	たんほうかんとうつかがしら	10	10
93401	鉄器残片	てっきざんぺん	10	10
93404	鉄鑿	てつのみ	10	10
95174	鉄鉇	てつやりがんな	10	10
96143	土偶残片	どぐうざんぺん	10	10
89986	銅釧	どうくしろ	10	10
153979	軟質甕	なんしつかめ	10	10
144612	如来三尊仏龕	にょらいさんぞんぶつがん	10	10
12067	百万塔	ひゃくまんとう	10	10
37726	遊女立姿図	ゆうじょたちすがたず	10	10
90573	鈴杏葉	すずぎょうよう	10	10
89668	甕形土器	かめがたどき	10	10
89645	貝輪未完成品	かいわみかんせいひん	10	9
79450	土器残欠	どきざんけつ	10	9
71641	刀子	とうす	10	9
71490	外容器（壺）	がいようき（つぼ）	10	8
99353	鐸形土製品	たくがたどせいひん	10	8
47411	寒山拾得図	かんざんじっとくず	10	7
12141	金錍	こんぺい	10	5
73287	蓬莱柄鏡	ほうらいえかがみ	10	5
3084	蓬莱柄鏡	ホウライエキョウ	10	4
5657	寒山拾得図	カンザンジュットクズ	10	3
110317	貝輪未完成品	かいわみかんせひん	10	1
71598	外容器（壺）	がいようき　つぼ	10	1
114510	鐸形土製品	とくがたどせいひん	10	1
114745	鐸形土製品	たくがたどせひん	10	1
346	壷形土器	ツボガタドキ	9	183
93721	ガラス勾玉	まがたま	9	47
76959	鍔	つば	9	16
12661	雲珠	うず	9	11
109648	埴輪 腕（模造）	はにわ うで	9	11
115	須恵器 はそう	スエキ ハソウ	9	10
88250	須恵器　脚付長頸壺	すえき　きゃくつきちょうけいこ	9	10
145946	青磁蓮弁文碗	せいじれんべんもんわん	9	10
12782	帯鉤	たいこう	9	10
12711	腕輪	うでわ	9	10
1010	筥迫	ハコセコ	9	10
146277	加彩女子	かさいじょし	9	9
162420	火の王水の王	ひのおうみずのおう	9	9
3475	観音菩薩坐像	カンノンボサツザゾウ	9	9
116482	脚絆	きゃはん	9	9
49195	蛍狩り	ほたるが	9	9
4042	五言律詩	ゴゴンリッシ	9	9
49217	江ノ島岩屋の釣遊び	えのしまいわや つりあそ	9	9
107663	高坏残欠	たかつきざんけつ	9	9
71595	骨蔵器	こつぞうき	9	9
173877	彩文鉢	さいもんはち	9	9
4757	山水図冊	サンスイズサツ	9	9
95237	子持勾玉	こもちまがたま	9	9
12799	耳環	じかん	9	9
78050	耳付茶入	みみつきちゃいれ	9	9
93922	埴輪 盾持人	はにわ　たてもちびと	9	9
50470	浅草年の市	あさくさとし　いち	9	9
97425	蛸壺	たこつぼ	9	9
78280	茶入	ちゃいれ	9	9
90219	提瓶残欠	ていへいざんけつ	9	9
90836	鉄刀残欠	てっとうざんけつ	9	9
71643	鉄鏃残片	てつぞくざんぺん	9	9
86575	天冠	てんかん	9	9
16663	渡唐天神像	ととうてんじんぞう	9	9
160110	能楽画稿	のうがくがこう	9	9
58060	能面　曲見	のうめん　しゃくみ	9	9
90340	巴形銅器	ともえがたどうき	9	9
110848	巴文軒丸瓦	ともえもんのきまるがわら	9	9
54	馬鐸	バタク	9	9
15858	版本法華経	はんぽんほけきょう	9	9
16245	盤	ばん	9	9
145792	粉青印花連珠文鉢	ふんせいいんかれんじゅもんはち	9	9
15339	法華経曼荼羅	ほけきょうまんだら	9	9
116493	木綿衣	もめんい	9	9
4913	羅漢図	ラカンズ	9	9
12775	連弧文鏡	れんこもんきょう	9	9
150550	輻線蓮花文軒丸瓦	ふくせんれんげもんのきまるがわら	9	9
161638	麒麟水滴	きりんすいてき	9	9
119026	《平緒模写》	ひらおもしゃ	9	8
1464	古今雛	コキンビナ	9	8
79349	焼塩壺	やきしおつぼ	9	8
79621	染付六角盃台	そめつけろっかくさかずきだい	9	8
14794	能面　小面	のうめん　こおもて	9	8
88480	ガラス勾玉	がらすまがたま	9	7
88951	素環鏡板付轡	そかんかがみいたつきくつわ	9	7
144043	緑色ターラー菩薩坐像	みどりいろたーらーぼさつざぞう	9	7
88227	須恵器　ハソウ	すえき	9	6
109825	中細形銅戈	なかぼそがたどうか	9	6
161009	焼塩壺	やきしおつぼふた	9	5
91784	須恵器 短頸壺	すえき たんけいこ	9	5
61022	和同開珎	わどうかいちん(ほう)	9	4
655	和同開珎	ワドウカイチン	9	3
100564	須恵器 短頸壺	すえき たんけいつぼ	9	2
162337	中細形銅戈	ちゅうぼそがたどうか	9	2
144157	緑色ターラー菩薩坐像	りょくしょくたーらーぼさつざぞう	9	2
119033	《平緒模写》	ひらおＰもしゃ	9	1
178363	古今雛	ココンビナ	9	1
109647	埴輪 腕（模造）	はにわ うで（もぞう）	9	1
162186	須恵器 脚付長頸壺	すえき きゃくつきちょうけいつぼ	9	1
79608	染付六角盃台	そめつけろっかっくさかずきだい	9	1
94133	素環鏡板付轡	そかんせいかがみいたつきくつわ	9	1
95447	素環鏡板付轡	そかんとうかがみいたつきくつわ	9	1
109822	中細形銅戈	なかぼそがた	9	1
16513	盉	か	8	35
93485	土師器 坩	かん	8	15
116570	首飾	くびかざり	8	12
